Bishtpala-Outer-Reef,Bishtpala Outer Reef
Waikuku-Beach,Waikuku Beach
Cannibal-Bay,Cannibal Bay
Catlins-River-Mouth,Catlins River Mouth
Dinner-Plates,Dinner Plates
Kaka-Point,Kaka Point
Long-Point,Long Point
Nugget-Point,Nugget Point
Papatowai,Papatowai
Porpoise-Bay,Porpoise Bay
Purakaunui-Bay,Purakaunui Bay
Tuapeka-Point,Tuapeka Point
Clark-Island,Clark Island
Donut-Island,Donut Island
Hotwater-Beach,Hot Water Beach
Kuaotunu,Kuaotunu
Kuoatunu-Reef,Kuoatunu Reef
Matarangi,Matarangi
New-Chums,New Chums
Onemana,Onemana
Opoutere-Beach,Opoutere Beach
Orakawa,Orakawa
Otama,Otama
Pauanui-Beach,Pauanui Beach
Sailors-Grave,Sailors Grave
Tairua-Bar,Tairua Bar
Tairua-Beach,TairuaBeach
Waikawau-Bay,Waikawau Bay
Whangamata-Bar,Whangamata Bar
Whangamata-Beach,Whangamata Beach
Whangamata-Estuary,Whangamata Estuary
Whangapoua,Whangapoua
Whiritoa,Whiritoa
Whitianga,Whitianga
Anaura-Bay,Anaura Bay
Hawai-River,Hawai River
Hicks-Bay,Hicks Bay
Horseshoe-Bay,Horseshoe Bay
Kaiaua-Bay,Kaiaua Bay
Loisells,Loisell's
Maraenui,Maraenui
Motu-River,Motu River
Papatea-Bay,Papatea Bay
Te-Araroa,Te Araroa
Three-Points,Three Points
Tokata,Tokata
Tokomaru-Bay,Tokomaru Bay
Tolaga-Bay,Tolaga Bay
Torere-Beach,Torere Beach
Waiapu-River,Waiapu River
Waihau-Bay,Waihau Bay
Whangaparaoa,Whangaparaoa
Aurora_Point,Aurora Point
Blacks-Reef,Blacks Reef
Boat-Harbours,Boat Harbour
Cliffs_2,Cliffs
Diners-Beach,Diners Beach
Happy-Jacks,Happy Jacks
Last-Chance,Last Chance
Mahanga-Beach,Mahanga Beach
Mahanga-Point,Mahanga Point
Mahia-Reef,Mahia Reef
Mahia-Spit,Mahia Spit
Makarori-Centre,Makorori Centre
Makarori-North,Makorori North
Makarori-Point,Makorori Point
Mapere-Beach,Mapere Beach
Gizzy-Pipe,Midway Beach - Gizzy Pipe
Midway-Beach,Midway Beach - Surf Club
old-mans-hat,Old Man's Hat
Opoutama-Beach,Opoutama Beach
Oraka-beach,Oraka Beach
Point-Annihilation,Point Annihilation
Pouawa-Beach,Pouawa Beach
Rolling-Stones,Rolling Stones
Sponge-Bay,Sponge bay
Table-Cape-Reefs,Table Cape Reefs
Tracks,Tracks
Tuahine-Point,Tuahine Point
Te-Kapu,Tuahuru Reefs
Tuamotu-Island,Tuamotu Island
Roberts-Road-Gisborne,Waikanae Beach - Roberts Road
Wainui-Bay-Chalet,Wainui Bay Chalet
Pines-Wainui-Beach,Wainui Beach - Pines
Wainui-Beach-Schools,Wainui Beach - Schools
Stockroute-Wainui-Beach,Wainui Beach - Stockroute
Wainui-Beach-Whales,Wainui Beach - Whales
Waipaoa-River,Waipaoa River
Whangara,Whangara
Awana,Awana
Kaitoke-Beach,Kaitoke Beach
Medlands-Beach,Medlands Beach
Whangapoua-Estuary-Okiwi,Okiwi - Whangapoua Estuary
Shark-Alley,Shark Alley
Aropaonui,Aropaonui
Awatoto-Rivermouth,Awatoto Rivermouth
Cray-Bay,Cray Bay
Haumoana-River-Mouth,Haumoana River Mouth
Mohka-River-Mouth,Mohaka River Mouth
Hardings-Road-Napier,Napier - Hardings Road
Marine-Parade-Napier,Napier - Marine Parade
The-Gap-Napier,Napier - The Gap
The-Reef-Napier,Napier - The Reef
Ocean-Beach_1,Ocean Beach
Raneika-Beach,Raneika Beach
Red-Island,Red Island
Stingray-Bay_1,Stingray Bay
Taits-Beach,Taits Beach (Waikari River)
Tangoio,Tangoio
Flat-Rockat-Tangoio,Tangoio Flat Rock
Te-Awanga,Te Awanga
Tutaekuri-River-Mouth,Tutaekuri River Mouth
Waihua,Waihua
Waimarama,Waimarama
Waipatiki,Waipatiki
Wairoa-River-Mouth,Wairoa River Mouth
West-Shore-Beach,West Shore Beach
Blue-Duck-Stream,Blue Duck Stream
Clarence-River,Clarence River
Kahutara,Kahutara
Kekerengu,Kekerengu
Mangamaunu,Mangamaunu
Meatworks,Meatworks
Oaro,Oaro
Robin-Hood-Bay,Robin Hood Bay
Waipapa-Bay,Waipapa Bay
Ward-Beach,Ward Beach
Whale-Watch-Reef,Whale Watch Reef
Whites-Bay,Whites Bay
Cable-Bay-N-Z,Cable Bay
Delaware-Bay,Delaware Bay (East end)
Delaware-Bay-Point,Delaware Bay Point
The-Cut-Nelson-Harbour,Inner Cut
Magnets,Magnets
Onekaka,Onekaka
Outer-Cut,Outer Cut
Para-Para-Rivermouth,Para Para Rivermouth
Patons-Rock,Patons Rock
Pohara-beach,Pohara Beach
Rabbit-Island,Rabbit Island
Ruby-Bay,Ruby Bay
Schnappers-Point,Schnappers Point
Tahunanui-Bar,Tahunanui bar
Tahunanui,Tahunanui Beach
Tata-Beach-2,Tata Beach
The-Glen,The Glen
Whangamoa,Whangamoa
Anatori_River,Anatori River
Farewell-Spit,Farewell Spit
Fergusons-Beach,Fergusons Beach
Fletchers,Fletchers Beach
Paturau,Paturau River
Wairaiki-Beach,Wharariki Beach
Baylys-Beach,Baylys Beach
Black-Swamp,Black Swamp
Bland-Bay,Bland Bay
Daniels-Reef,Daniels Reef
Elliots,Elliot Bay
Fairway_Reef,Fairway Reef
Forestry,Forestry
Goat-Island-Reef,Goat Island Reef
Great-Exhibition-Bay,Great Exhibition Bay
Helena-Bay,Helena Bay
Henderson-Bay,Henderson Bay
Herangi-Beach,Herangi Beach
Hauhora-Harbour-Bar,Houhora Harbour Bar
Karikari-Beach,Karikari Beach
Langsbeach,Langs beach
Mangawhai-Heads,Mangawhai Heads
Marsden-Point,Marsden Point
Matauri-Bay,Matauri Bay
Mimiwhangata,Mimiwhangata
Matukahakaha-Paradise-Bay,Motukahakaha and Paradise Bay
Moureeses,Moureeses
Mukerau-Beach_1,Mukerau Beach
Ngataki-Beach-and-Paxton-Point,Ngataki Beach and Paxton Point
Ngunguru-Bar,Ngunguru Bar
Ninety-Mile-Beach,Ninety Mile Beach
Oakura_Bay,Oakura Bay
Ocean-Beach-Whangarei,Ocean Beach (Whangarei)
Okupe-Beach,Okupe Beach
Omaha,Omaha Beach and Bar
Pakiribeach,Pakiri beach
Paparahi-Point,Paparahi Point
Parengarenga-Harbour-Bar,Parengarenga Harbour Bar
Pataua,Pataua
Puwheke-Beach,Puwheke Beach
Ranganunu-Harbour,Ranganunu Harbour
Rarawa-Beach,Rarawa Beach
Raupo_Bay,Raupo Bay
Ruakaka,Ruakaka
Russell,Russell - Ocean Beach
Sandy-Bay-Northland,Sandy Bay
Scott-Point,Scott Point
Shipwreck-Bay-Blue-House,Shipwreck Bay-Blue House
Shipwreck-Bay-Pines,Shipwreck Bay-Pines
Shipwreck-Bay-Supertubes,Shipwreck Bay-Supertubes
Shipwrecks-Bay-Peaks,Shipwrecks Bay-Peaks
Spirits-Bay,Spirits Bay
Taipu-Doubtless-Bay,Taipa Bay
Takou-Bay,Takou Bay
Tapotupoto-Bay,Tapotupoto Bay
Tapuaetahi,Tapuaetahi
Taronui-Bay,Taronui Bay
Taronui-Bay-Bombora,Taronui Bay-Bombora
Taupo-Bay,Taupo Bay
Tauranga-Bay,Tauranga Bay
Tawharanui,Tawharanui
Te-Arai-Point,Te Arai Point
Te-Paki,Te Paki
The-Bluff-North-Side,The Bluff-North Side
The-Bluff-South-Side,The Bluff-South Side
The_Box,The Box
The-Ledge_1,The Ledge
Tokatu-Peninsula,Tokatu Peninsula
Tokerau-Beach-Doubtless-Bay,Tokerau Beach or Doubtless Bay
Tom-Bowling-Bay,Tom Bowling Bay
Twilight-Beach,Twilight Beach
Wainui-Bay,Wainui Bay
Waipapakauri-Beach,Waipapakauri Beach
Waipu-Cove,Waipu Cove
Waipu-River,Waipu River
Whananakibar,Whananaki bar
Whananaki-Beach,Whananaki Beach
All-Day-Bay,All Day Bay
Aramoana-Spit,Aramoana Spit
Brighton-Otago,Brighton
Campbells-Bay,Campbells Bay
Crossroads,Crossroads
Blue-Tops,Dunedin - Blue Tops
Bobs-Beach,Dunedin - Bobs Beach
Cob-Cottage,Dunedin - Cob Cottage
Kuri-Bush,Dunedin - Kuri Bush
Middle-Beach-Moana-Rua,Dunedin - Middle Beach (Moana Rua)
Ocean-View,Dunedin - Ocean View
St-Clair,Dunedin - St Clair
st-Kilda-Beach,Dunedin - St Kilda Beach
Taieri-Mouth,Dunedin - Taieri Mouth
Kakanui-River-Mouth,Kakanui River Mouth
Karitane-Point,Karitane Point
Lake-Pukaki-Point,Lake Pukaki Point
Lighthouse-Spot-C,Lighthouse (Spot C)
Moeraki,Moeraki
Murdering-Bay,Murdering Bay
Allans-Beach,Otago Peninsula - Allans Beach
Boulder-Beach,Otago Peninsula - Boulder Beach
Long-Beach_1,Otago Peninsula - Long Beach
Papanui-Beach,Otago Peninsula - Papanui Beach
Penguin-Beach,Otago Peninsula - Penguin Beach
Pipikaretu,Otago Peninsula - Pipikaretu
Sandfly-Bay,Otago Peninsula - Sandfly Bay
Smaills-Beach,Otago Peninsula - Smaills Beach
Tomahawk-Beach,Otago Peninsula - Tomahawk Beach
Pipeline-Dunedin,Pipeline (Dunedin)
Possums-Reef,Possums Reef
Potato-Point,Potato Point
Shag-Beach,Shag Beach
Wainakarua-River-Mouth,Wainakarua River Mouth
Warrington,Warrington
Port-Waikato-Sunset-Beach,Port Waikato-Sunset beach
Port-Waikato-The-Reef,Port Waikato-The Reef
Ngarunui-Beach,Raglan - Ngarunui Beach
Raglan-Indicators,Raglan-Indicators
Raglan-Manu-Bay,Raglan-Manu Bay
Raglan-whale-Bay,Raglan-Whale Bay
Ruapuke,Ruapuke
Beatons,Beatons
Bluecliffs,Bluecliffs
Colac-Bay,Colac Bay
Frentzes,Frentzes
Mitchells,Mitchell's Bay
Nicks-Point,Nicks Point
Oreti,Oreti Beach
Porridge,Porridge
Saber-Reef-Stewart-Island,Stewart Island - Saber Reef
Ahu-Ahu-Road,Ahu Ahu Road
Anawhata-Road-Oaonui,Anawhata Road (Oaonui)
Arawhata,Arawhata
Awakino-River-Mouth,Awakino River Mouth
Back-Beach_1,Back Beach
Bell-Block-Reef,Bell Block Reef
Belt-Road,Belt Road
Bog-Works,Bog Works
Desperation-Point,Desperation Point
East-End-and-The-Gap,East End and The Gap
Fitzroy-Beach,Fitzroy Beach
Graveyards_1,Graveyards
Greenmeadows,Greenmeadows
Kina-Road,Kina Road
Kumera-Patch,Kumera Patch
Mangahume,Mangahume
Marokopa,Marokopa
Middleton-Bay,Middleton Bay
Oakura-Beach,Oakura Beach
Opunake-Beach,Opunake Beach
Paritutu-and-Ngamotu-Beach,Paritutu and Ngamotu Beach
Patea-River-Mouth,Patea River Mouth
Punihos,Punihos
Rocky-Pt,Rocky Lefts
Rocky-Rights,Rocky Rights
Sky-Williams,Sky Williams
Stent-Road,Stent Road
Waitara-Bar,Waitara Bar
Waiwakaiho,Waiwakaiho
Weld-Road,Weld Road
Akito-River-Mouth-and-Reef,Akito River Mouth and Reef
Blackhead_1,Blackhead
Slippery-Castlepoint,Castlepoint - Slippery
The-Gap-Castlepoint,Castlepoint - The Gap
Castlepoint-Beach,Castlepoint Beach
Christmas-Bay,Christmas Bay
Dee-Dees,Dee Dees
Herbertville,Herbertville
Ning-Nong-Point-and-Reef,Ning Nong Point and Reef
Owahanga,Owahanga
Porangahau-River-Mouth,Porangahau River Mouth
Pourere-Beach,Pourere Beach
Riversdale,Riversdale
Tora-Point,Tora Point
Tora-Bombora,Tora-Bombora
Tora-Shipwreck,Tora-Shipwreck
Tora-Stix,Tora-Stix
Whareama,Whareama
Whatarangi-Bombora,Whatarangi Bombora
Whiterock,White Rock
Foxton-Beach,Foxton Beach
Himitangi-Beach,Himatangi Beach
Kai-Iwi,Kai-Iwi
Karaka-Street,Karaka Street
Morgan-Street-North-Mole,Morgan Street (North Mole)
Nukumaru-Rock,Nukumaru Rock
Otaki-Beach,Otaki Beach
Peka-Peka,Peka Peka
Rangiora-Street,Rangiora Street
South-Beach-Wanganui,South Beach (Wanganui)
The-Point-nr-Wainui,The Point (nr Wainui)
The-Fences,TheFences
Wainui-Reef,Wainui Reef
Waitarere,Waitarere
Wanganui-River-Mouth,Wanganui River Mouth
Whangaehu-River-Mouth,Whangaehu River Mouth
Airport-Rights_1,Airport Rights
Breaker-Bay,Breaker Bay
Eastbourne_2,Eastbourne
Houghton-Bay,Houghton Bay
Lyall-Bay,Lyall Bay
Lyall-Bay-Bombora,Lyall Bay-Bombora
Makara,Makara
Mana-Island,Mana Island
Paekakariki,Paekakariki
Propellers,Propellers
Pukerua-Bay,Pukerua Bay
Te-Ikaamaru-Bay,Te Ikaamaru Bay
The-Island-Island-Bay,The Island (Island Bay)
The-Pa,The Pa
The-Pa-Point,The Pa Point
Titahi-Bay,Titahi Bay
Blaketown-Wedge,Blaketown Wedge
Charleston,Charleston
Cobden-Beach,Cobden Beach
Cobden-Breakwater,Cobden Breakwater
Fox-River,Fox River
Haast-Beach,Haast Beach
Larsen-Street,Larsen Street
Little-Wanganui,Little Wanganui
Nine-Mile,Nine Mile
Punakaiki,Punakaiki
Rapahoe,Rapahoe
Shingles,Shingles
Smoothwater-Bay,Smoothwater Bay
Tauranga-Bay-Westport,Tauranga Bay
Waimarie,Waimarie
Westport-Breakwater,Westport Breakwater
Woodpecker-Bay,Woodpecker Bay
Asuchillo-Beach,Asuchillo Beach Break
Corinto,Corinto
El-Transito,El Transito
Hemorrhoids,Hemorrhoids
Jiquilillo,Jiquilillo
La-Jaimacana,La Jaimacana (The Pipes)
Masa-Chapa,Masa Chapa
Melon-and-Pochomil,Melon and Pochomil
Milagro-del-Mar-Point,Milagro del Mar Point
Montelimar,Montelimar
Paso-Caballo,Paso Caballo
Pochomil-Viejo,Pochomil Viejo
Puerto-Sandino,Puerto Sandino
Punta-Miramar,Punta Miramar
Punta-San-Diego,Punta San Diego
El-Coco,El Coco
Los-Pechos,Los Pechos
Ostional_1,Ostional
Playa-El-Yanqui,Playa El Yanqui
Playa-Hermosa_1,Playa Hermosa
Playa-Remonso,Playa Remonso
Playa-Tamarindo,Playa Tamarindo
Punta-Quilla,Punta Quilla
San-Juandel-Sur,San Juan del Sur
Casares,Casares
El-Astillero,El Astillero
Perfect-Peak,Perfect Peak (Playa Rosado)
Playa-Amarillo,Playa Amarilla
Colorado,Playa Colorado
Playa-Gigante,Playa Gigante
Playa-Sardinas,Playa Sardinas
Popoyo,Popoyo
Punta-Manzanillo,Punta Manzanillo
Lighthouse-Beach-2,Lighthouse Beach
Shipwreck_2,Shipwreck
Tarqua-Bay,Tarqua Bay
Bird-Island-Saipan,Bird Island
Tank-Beach,Tank Beach
Kvalnes,Kvalnes (Lofoten)
Uredd-Monument,Monumentet
Seines,Seines
Unstad,Unstad (Lofoten)
Alnes-Lighthouse,Alnes Lighthouse
Bore,Bore
Ervika,Ervika
Farstadstranda,Farstadstranda
Flo,Flo
Havik,Havik
hellesto,Hellesto
Hoddevik,Hoddevik
Lista-Bausje,Lista (Bausje)
Njerve-Pipeline,Njerve Pipeline
Reve-Havn,Reve Havn
Saltstein,Saltstein or Saltstone
Sele,Sele
Ulla,Ulla
Al-Ashkharah,Al Ashkharah (Shipwreck Beach)
Al-Jafn,Al Jafn
Ras-Al-Hadd,Ras Al Hadd
Sur,Sur
B-B-C,BBC
Haqal,Haqal
Ras-Al-Jazirah,Ras Al Jazirah
Ras-Al-Ya,Ras Al Ya
Ras-Kaydah,Ras Kaydah
Shiinzi,Shi-inzi
Ganz,Ganz
Gwadar-West,Gwadar West
Jabal-Sur,Jabal Sur
Jabal-Zarain,Jabal Zarain
Kund-Malir,Kund Malir
Mirages,Mirages
Mubarak-Village,Mubarak Village
Pasao-Kaur,Pasao Kaur
Pishukan,Pishukan
Ras-Jaddi,Ras Jaddi
Ras-Kappar,Ras Kappar
Shamal-Bandar,Shamal Bandar
Melekeok,Melekeok (Babelthuap)
Santa-Maria-Anguar,Santa Maria Anguar
West-Passage-Palau,West Passage (Babelthuap)
Bluff,Bluff
Careneros-Point-Break,Careneros Point Break
Dumpers,Dumpers
First-Beach,First Beach (Wizard Beach)
Paunch-Reef,Paunch Reef
Silverbacks,Silverbacks
Isla-Grande,Isla Grande
Maria-Chiquita,Maria Chiquita
Palenque,Palenque
Playon,Playon
V-Land,V-Land
Corto-Circuito,Corto Circuito
Destiladeros,Destiladeros
El-Palmer,El Palmer
Esmeralda,Esmeralda
Hawaiisito,Hawaiisito
La-Zurda,La Zurda
Lagart-Point,Lagart Point
Las-Bovedas,Las Bovedas
Modrono,Modrono
Nuevo-Loco,Nuevo Loco
Panama-La-Vieja,Panama La Vieja
Cambutal,Playa Cambutal
Playa-Guanico,Playa Guanico
Playa-Malibu_2,Playa Malibu
Playa-Mojon,Playa Mojon
Playa-Serena,Playa Serena
Playa-Teta,Playa Teta
Playa-Venao,Playa Venao
Quatro-once-411,Quatro-Once (411)
Rinconsito,Rinconsito
Rio-Mar,Rio Mar
Rocky-Point_3,Rocky Point
San-Carlos-Point,San Carlos Point
Stanleys,Stanleys
Mariatos,Mariatos
Morro-Negrito,Morro Negrito
Morro-Negrito_Rivermouth,Morro Negrito - Rivermouth
Playa-Santa-Catalina,Playa Santa Catalina
Punta-Brava,Punta Brava
Silva-Island_Nestles,Silva Island-Nestles
Silva-Island-P-Land,Silva Island-P Land
Cape-Barabar,Cape Barabar
Forok-Point,Forok Point
Karawop,Karawop
Kragur-Village-Kairiru-Island,Kragur Village Kairiru Island
Moem-Point,Moem Point
Tarawai,Tarawai
The-Wharf_1,The Wharf (Mission Point)
Tupira-Right,Tupira Right
Wewak-Point,Wewak Point
Duke-of-York,Duke of York
Raiven,Raiven
Edmago,Edmago
Kavieng-Rights,Kavieng Rights
Long-Long,Long Long
Nago,Nago
Nusa,Nusa
Piccinniny,Piccinniny
Rubio,Rubio
Simberi-Island,Simberi Island
Aitape,Aitape
Jailbreak,Jailbreak
Lidos-Left,Lidos Left
Lidos-Right,Lidos Right
Logs,Logs
Vanimo-Narimu-and-Buro,Narimu and Buro Reefs
Sissano-Lagoon,Sissano Lagoon
Vanimo-Reef,Vanimo Reef
Wutung-Village-Reef,Wutung Village Reef
Bermejo,Bermejo
Centinela,Centinela
Conchitas,Conchitas
El-Camotal_1,El Camotal
Las-Gramas,Las Gramas
Paraiso-1,Paraiso
Playa-Grande,Playa Grande
Polvorin,Polvorin
Punta-Gaviotas,Punta Gaviotas
Salinas-1,Salinas
Boca-del-Rio-1,Boca del Rio
Mejia,Caleta Mejia
Caleta-Sama,Caleta Sama
El-Olon-de-Ilo,El Olon de Ilo
Piedras-Negras,Piedras Negras
Punta-Bombon,Punta Bombon
Playon_1,El Playon
Zarate,Islote Zarate
K-M-200,KM-200 - Totoritas
Puerto-Caballas,Puerto Caballas
Sacasemita,Sacasemita
San-Gallan,San Gallan
Boca-del-Rio,Boca del Rio
Cherrepe,Cherrepe
El-Cape,Chicama - El Cape / Keys
El-Hombre,Chicama - El Hombre
Chicama,Chicama - El Point
Malpaso,Chicama - Malpaso
El-Brujo,El Brujo
Puerto-Eten,La Farola
Pacasmayo,Pacasmayo
Pimentel,Pimentel
Puemape,Poemape
Puerto-Morin,Puerto Mori
Punta-Huanchaco,Punta Huanchaco
Salaverry-Harbour,Salaverry Harbour
Ala-Moana,Ala Moana
Arica,Arica
Mar-Azul-1,Asia - Mar Azul
Asia-Palmas,Asia - Palmas
Asia-del-Mar,Asia - Rosario
Sarapampa,Asia - Sarapampa
Barranquito,Barranquito
Caballeros,Caballeros
Cerro-Azul,Cerro Azul
Chancay,Chancay
Conchan,Conchan
El-Cabezo,El Cabezo
El-Camotal,El Camotal
El-Huayco,El Huaico
El-Paso_2,El Paso
El-Silencio,El Silencio
Ensenada,Ensenada
Explosivos,Explosivos
Jaguay,Jaguay
K-108,K-108
Kon-Tiki,Kon Tiki
La-Costa,La Costa
Herradura,La Herradura
La-Isla,La Isla
La-Playita-2,La Playita
La-Timba,La Timba
Laniakea,Laniakea
Las-Brisas,Las Brisas
Makaha_2,Makaha
Pampilla,Pampilla
Pasamayo,Pasamayo
Pavos,Pavos
Pena-Rosa,Peña Rosa
Penascal,Peñascal
Pepinos,Pepinos
Pico-Alto,Pico Alto
Playa-Blanca,Playa Blanca
Playa-Norte_2,Playa Norte
Puerto-Fiel,Puerto Fiel
Puerto-Nuevo,Puerto Nuevo
Puerto-Viejo,Puerto Viejo
Pulpos,Pulpos
Punta-Perfection,Punta Perfection
Punta-Rocas,Punta Rocas
Punta-Roquitas,Punta Roquitas
Redondo,Redondo
Rio-Lurin,Rio Lurin
San-Bartolo,San Bartolo - Derechitas
Izquierditas,San Bartolo - Izquierditas
Santa-Maria,Santa Maria
Santa-Rosa,Santa Rosa
Secret-Spot,Secret Spot
Senoritas,Señoritas
Silencios,Silencios
Totoritas,Totoritas
Tres-Picos,Tres Picos
Triangulo,Triangulo
Villa,Villa
Waikiki_1,Waikiki
Baterias,Baterias
Nonura,Bayobar - Nunura
Punta-Aguja,Bayobar - Punta Aguja
Punta-Faro,Bayobar - Punta Faro
Punta-Tur,Bayobar - Punta Tur
Cabo-Blanco,Cabo Blanco
Cabo-Blanquillo,Cabo Blanquillo
Cabo-Verde,Cabo Verde
Cancas,Cancas
Colan,Colan
El-Golf,El Golf
El-Hueco,El Hueco
El-Muelle-1,El Muelle
El-Nuro,El Ñuro
La-Islilla,La Islilla
Lobitos,Lobitos
Los-Organos,Los Organos
Mancora,Mancora
Negritos,Negritos
Panic-Point,Panic Point
Pena-Negra,Peña Negra
Pena-Redonda,Peña Redonda
Piscinas,Piscinas
Punta-Arena,Punta Arena
Balconies,Punta Balcones
Punta-Ballenas,Punta Ballenas
Punta-Lobo,Punta Lobo
Punta-Mero,Punta Mero
Punta-Negra_1,Punta Negra
Punta-Restin,Punta Restin
Punta-Sal,Punta Sal
Reventazon,Reventazon
Yacila,Yacila
Zorritos,Zorritos
Lucky-Point,Lucky Point
Majestics,Majestics
Moning,Moning
Point-B,Point B
Virac-Harbour,Virac Harbour
Boulevard,Boulevard
Calicoan-Island-ABCD-Beach,Calicoan Island ABCD Beach
Guitagican-Beach,Guitagican Beach
Llorente,Llorente
Pirates-Cove,Pirates Cove
Santa-Monica,Santa Monica
Sulingan-Beach,Sulingan Beach
Barrio,Barrio
Burgos,Burgos
Caridad,Caridad
Cloud-Nine,Cloud 9
Horseshoe_1,Horseshoe
Mabuntok,Mabuntok
Pacifico,Pacifico
Pancit-Reef,Pancit Reef
Pansukian,Pansukian
Pilar,Pilar
Stimpys,Stimpy's
Tuason-Point,Tuason Point
Ayoke,Ayoke - Tinago
Big-Star,Big Star
Cauit-Point,Cauit Point
Glendas,Glendas
Jellys-Point,Jelly's Point
Lanuza-Rivermouth,Lanuza Rivermouth
Marami-Beach,Marami Beach
Moshi-Moshi,Moshi-Moshi
Random-Beach-Break,Random Beach Break
Tago-River,Tago River
Badoc-Island-Lefts,Badoc Island Lefts
Badoc-Point,Badoc Point
Bagasbas-Beach,Bagasbas Beach
Charlies-Point,Baler - Charlie's Point
Lindys-Point,Baler - Lindy's Point
Sabang,Baler - Sabang
Bauang,Bauang
Carrille,Car-rille
Cemento,Cobra Reef - Cemento
Darigayos,Darigayos
German-Sunset-Break,German Sunset Break
Baler-Malaking-Gasang,Malaking Gasang (Baler)
Manangat,Manangat
Mona-Liza-Point,Mona Liza Point
Nalvo,Nalvo
Parada-Santa,Parada Santa
Poro-Point,Poro Point
Puro-Pinget,Puro Pinget
San-Juan-Luzon,San Juan
Star-Tubes,Star Tubes
Turtle-Head,Turtle Head
Urbiztondo-Beach,Urbiztondo Beach
Chalupy,Chalupy
Dabki,Dabki
Rurociag,Rurociag
Aberta-A-Nova,Aberta A Nova
Almograve,Almograve
Burrinho,Burrinho
Cabode-Sines,Cabo de Sines
Carvalhal,Carvalhal
Cogumelo,Cogumelo
Comporta,Comporta
Malhano,Malhão
Melides,Melides
Porto-Covo,Porto Covo
Praia-do-Pego,Praia do Pego
Aivados,Praia dos Aivados
Sanguessuga,Sanguessuga
Sao-Torpes,Sao Torpes
Troia,Troia
Vila-Novade-Milfontes,Vila Nova de Milfontes
Zambujeira-do-Mar,Zambujeira do Mar
Albufeira,Albufeira
Alfagar,Alfagar
Alvor,Alvor
Amoreira,Amoreira
Arrifana,Arrifana
Barranco-da-Belharucas,Barranco da Belharucas
Beliche,Beliche
Burgau,Burgau
Carrapateira,Carrapateira
Carriagem,Carriagem
Castelejo,Castelejo
Cordama,Cordama
Figueiros,Figueiros
Forte-Novo-Quarteira,Forte Novo
Ilha-de-Faro,Ilha de Faro
Ilha-de-Tavira,Ilha de Tavira
Ilha-Deserta,Ilha Deserta
Ilha-do-Farol,Ilha do Farol
Ingrina,Ingrina
Julias,Julias
Lage-do-Pescador,Lage do Pescador
Luz-1,Luz
Mareta,Mareta
Martinhal,Martinhal
Meia-Praia,Meia Praia
Monte-Clerigo,Monte Clerigo
Ponta-Ruiva,Ponta Ruiva
Praiada-Rocha,Praia da Rocha
Praia-de-Altura,Praia de Altura
Praia-de-Faro,Praia de Faro
Praiade-Odeceixe,Praia de Odeceixe
Praiado-Amado,Praia do Amado
Praia-do-Bordeira,Praia do Bordeira
Praia-do-Cabeco,Praia do Cabeco
Luz-Rocha-Negra,Rocha Negra
Salema,Salema
Tonel,Tonel
Vale-do-Lobo,Vale do Lobo
Vale-Figueira,Vale Figueira
Vila-Real-de-Santo-Antonia,Vila Real de Santo Antonio
Zavial,Zavial
Praiado-Almoxarife,Faial - Praia do Almoxarife
Praiado-Norte-Azores,Faial - Praia do Norte
Lagou,Graciosa - Lagou
Portoda-Praia,Graciosa - Porto da Praia
Fajados-Cubres,San Jorge - Faja dos Cubres
Puntada-Caldeira,San Jorge - Punta da Caldeira
Areias,San Miguel - Areias
Baixade-Viola,San Miguel - Baixa de Viola
Pontados-Mosteiros,San Miguel - Ponta dos Mosteiros
Populo,San Miguel - Populo
Rabode-Peixe,San Miguel - Rabo de Peixe
Ribeira-Grande,San Miguel - Ribeira Grande
Ribeira-Quente,San Miguel - Ribeira Quente
Santa-Iria,San Miguel - Santa Iria
Anjos,Santa Maria - Anjos
Praia-Formosa,Santa Maria - Praia Formosa
Baia-Das-Quatro-Ribeiras,Terceira - Baia Das Quatro Ribeiras
Contendas,Terceira - Contendas
Pontado-Queimado,Terceira - Ponta do Queimado
Porto-Martins,Terceira - Porto Martins
Porto-Novo,Terceira - Porto Novo
Praia-da-Vitoria,Terceira - Praia da Vitoria
Praia-do-Norte,Terceira - Praia do Norte
Praia-Vitoria,Terceira - Praia Vitoria
Santa-Catarina,Terceira - Santa Catarina
Sao-Mateusda-Calherta,Terceira - Sao Mateus da Calherta
Vila-Nova,Terceira - Vila Nova
Cortegaca,Cortegaca
Costa-Nova,Costa Nova
Esmoriz,Esmoriz
Espinho,Espinho
Buarcos,Figueira da Foz - Buarcos
Cabedelo,Figueira da Foz - Cabedelo
Gala,Figueira da Foz - Gala
Furadouro,Furadouro
Maceda,Maceda
Murtinheira,Murtinheira
Nazare,Nazare
Pedrogao,Pedrogao
Praiada-Barra,Praia da Barra
Praia-da-Leirosa,Praia da Leirosa
Praia-da-Tocha,Praia da Tocha
Praia-da-Torreira,Praia da Torreira
Praia-da-Vagueira,Praia da Vagueira
Praia-da-Vieira,Praia da Vieira
Praiade-Mira,Praia de Mira
Praia-do-Norte-1,Praia do Norte
Praia-do-Osso-da-Baleia,Praia do Osso da Baleia
Praia-Paredes,Praia Paredes
Sao-Jacinto,Sao Jacinto
